NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Gosto poseljena obmoèja;Vmesna obmoèja;Redko poseljena obmoèja
…Video telefoniranje s spletno kamero prek interneta;2010;146896;37056;53134;56706
..Telefoniranje prek interneta, videokonferenca;2010;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2010;-;-;-;-
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2010;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2010;-;-;-;-
..Prodaja blaga, storitev;2010;321514;66008;126784;128722
..Prenašanje programske opreme;2010;347150;77014;131840;138296
..Nalaganje lastnih vsebin na spletne strani;2010;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2010;-;-;-;-
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2010;-;-;-;-
..Nalaganje vsebin na spletno stran;2010;451955;87108;176174;188672
..Pridobivanje informacij o izobraževanju;2010;419934;92639;155450;171845
..Opravljanje teèaja prek interneta;2010;64929;15179;25944;23806
..Pridobivanje novih znanj, informacij;2010;664403;140221;264050;260132
..Uporaba interneta za izobraževanje in teèaje;2010;734943;158938;286192;289812
..Udeležba kakršnega koli teèaja;2010;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2010;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2010;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2010;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2010;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2010;627242;140521;235705;251016
..Poslušanje spletnih radijskih postaj;2010;425063;95470;157474;172119
..Gledanje spletne TV;2010;469768;115061;172415;182292
..Iskanje drugih informacij;2010;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2010;-;-;-;-
…Igranje spletnih iger z drugimi osebami;2010;-;-;-;-
..Izdelava spletnih strani ali blogov;2010;-;-;-;-
..Uporaba e-pošte za delitev datotek;2010;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2010;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2010;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;2010;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2010;310895;68909;118538;123448
..Pošiljanje sporoèil v spletne klepetalnice;2010;155872;25256;60519;70097
..Pošiljanje sporoèil v novièarske skupine;2010;55507;9580;21011;24916
..Pošiljanje sporoèil v spletne forume;2010;236240;62814;89365;84061
..Branje spletnih forumov;2010;652311;143161;245973;263176
..Neposredno sporoèanje;2010;462143;95618;174640;191885
..Branje blogov;2010;454479;91202;169165;194112
..Pošiljanje komentarjev na druge bloge;2010;153141;30609;58168;64364
..Ustvarjanje in urejanje lastnega bloga;2010;78069;9670;29002;39397
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2010;636426;141860;252698;241867
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2010;636426;141860;252698;241867
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2010;392696;97806;146330;148561
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2010;134382;29680;46626;58076
Posamezniki;2011;1541185;287967;553769;699448
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2011;1037835;213287;389076;435473
..Pošiljanje ali prejemanje e-pošte;2011;909987;193461;344799;371726
..E-banèništvo;2011;477354;100087;186210;191056
..Iskanje informacij o blagu, storitvah;2011;824789;174088;316013;334688
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2011;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2011;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2011;546525;125405;203808;217312
..Branje spletni novic, spletnih èasopisov, spletnih revij;2011;792044;155951;308429;327665
...Naroèilo na spletne èasopisove, revije;2011;106262;23557;38838;43868
..Iskanje službe, pošiljanje prošenj za službo;2011;212053;48144;75279;88630
..Iskanje informacij, povezanih z zdravjem;2011;725346;146725;286585;292036
..E-naroèanje obiska pri zdravniku;2011;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2011;492628;109138;179678;203812
..Sodelovanje v profesionalnih spletnih omrežjih;2011;42110;16982;12760;12369
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2011;-;-;-;-
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2011;256975;57474;104632;94869
...Telefoniranje prek interneta;2011;-;-;-;-
…Video telefoniranje s spletno kamero prek interneta;2011;-;-;-;-
..Telefoniranje prek interneta, videokonferenca;2011;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2011;218023;41104;85120;91799
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2011;81826;14110;27624;40092
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2011;-;-;-;-
..Prodaja blaga, storitev;2011;458636;78622;183812;196203
..Prenašanje programske opreme;2011;369464;85528;142212;141723
..Nalaganje lastnih vsebin na spletne strani;2011;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2011;529572;120220;196443;212909
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2011;31393;7666;12872;10854
..Nalaganje vsebin na spletno stran;2011;-;-;-;-
..Pridobivanje informacij o izobraževanju;2011;502886;115710;185337;201838
..Opravljanje teèaja prek interneta;2011;79479;15740;30826;32913
..Pridobivanje novih znanj, informacij;2011;-;-;-;-
..Uporaba interneta za izobraževanje in teèaje;2011;-;-;-;-
..Udeležba kakršnega koli teèaja;2011;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2011;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2011;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2011;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2011;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2011;-;-;-;-
..Poslušanje spletnih radijskih postaj;2011;-;-;-;-
..Gledanje spletne TV;2011;-;-;-;-
..Iskanje drugih informacij;2011;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2011;-;-;-;-
…Igranje spletnih iger z drugimi osebami;2011;-;-;-;-
..Izdelava spletnih strani ali blogov;2011;-;-;-;-
..Uporaba e-pošte za delitev datotek;2011;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2011;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2011;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;2011;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2011;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice;2011;-;-;-;-
..Pošiljanje sporoèil v novièarske skupine;2011;-;-;-;-
..Pošiljanje sporoèil v spletne forume;2011;280335;53640;96441;130254
..Branje spletnih forumov;2011;698774;141150;250377;307248
..Neposredno sporoèanje;2011;-;-;-;-
..Branje blogov;2011;-;-;-;-
..Pošiljanje komentarjev na druge bloge;2011;-;-;-;-
..Ustvarjanje in urejanje lastnega bloga;2011;-;-;-;-
