NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Uèenec, dijak, študent;Zaposlen, samozaposlen;Upokojenec;Drugo
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2010;-;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2010;-;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2010;594238;87825;436248;39542;30623
..Branje spletni novic, spletnih èasopisov, spletnih revij;2010;647887;114142;452421;45143;36181
...Naroèilo na spletne èasopisove, revije;2010;94715;15728;63891;7948;7148
..Iskanje službe, pošiljanje prošenj za službo;2010;219246;35898;137898;1779;43671
..Iskanje informacij, povezanih z zdravjem;2010;684589;101352;484617;51611;47009
..E-naroèanje obiska pri zdravniku;2010;-;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2010;-;-;-;-;-
..Sodelovanje v profesionalnih spletnih omrežjih;2010;-;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2010;430414;150754;241433;11206;27021
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2010;222103;54682;140013;15869;11539
...Telefoniranje prek interneta;2010;183489;40460;124521;8529;9980
…Video telefoniranje s spletno kamero prek interneta;2010;146896;41290;83661;12827;9117
..Telefoniranje prek interneta, videokonferenca;2010;-;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2010;-;-;-;-;-
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2010;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2010;-;-;-;-;-
..Prodaja blaga, storitev;2010;321514;52413;229848;14056;25197
..Prenašanje programske opreme;2010;347150;117204;205863;5165;18919
..Nalaganje lastnih vsebin na spletne strani;2010;-;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2010;-;-;-;-;-
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2010;-;-;-;-;-
..Nalaganje vsebin na spletno stran;2010;451955;127817;282944;12710;28483
..Pridobivanje informacij o izobraževanju;2010;419934;96283;268896;22700;32055
..Opravljanje teèaja prek interneta;2010;64929;20094;35293;4058;5484
..Pridobivanje novih znanj, informacij;2010;664403;156101;427091;41058;40154
..Uporaba interneta za izobraževanje in teèaje;2010;734943;167257;473974;43714;49998
..Udeležba kakršnega koli teèaja;2010;-;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2010;-;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2010;-;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2010;-;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2010;-;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2010;627242;146198;416926;32328;31791
..Poslušanje spletnih radijskih postaj;2010;425063;109229;274161;20570;21103
..Gledanje spletne TV;2010;469768;107810;309105;26169;26683
..Iskanje drugih informacij;2010;-;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2010;-;-;-;-;-
…Igranje spletnih iger z drugimi osebami;2010;-;-;-;-;-
..Izdelava spletnih strani ali blogov;2010;-;-;-;-;-
..Uporaba e-pošte za delitev datotek;2010;-;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2010;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2010;-;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;2010;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2010;310895;105395;174148;10600;20752
..Pošiljanje sporoèil v spletne klepetalnice;2010;155872;62532;78390;4554;10396
..Pošiljanje sporoèil v novièarske skupine;2010;55507;18648;31898;1965;2997
..Pošiljanje sporoèil v spletne forume;2010;236240;76873;135158;7369;16840
..Branje spletnih forumov;2010;652311;151104;426283;39465;35458
..Neposredno sporoèanje;2010;462143;150348;267134;16621;28039
..Branje blogov;2010;454479;101226;287252;36294;29707
..Pošiljanje komentarjev na druge bloge;2010;153141;57479;77585;5165;12911
..Ustvarjanje in urejanje lastnega bloga;2010;78069;26894;45373;2335;3467
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2010;636426;113220;443648;36694;42863
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2010;636426;113220;443648;36694;42863
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2010;392696;50165;296731;19483;26317
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2010;134382;9961;110392;5703;8326
Posamezniki;2011;1541185;115564;934267;312469;178885
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2011;1037835;114160;777510;73371;72794
..Pošiljanje ali prejemanje e-pošte;2011;909987;111641;684418;52462;61466
..E-banèništvo;2011;477354;25117;412316;24625;15296
..Iskanje informacij o blagu, storitvah;2011;824789;84739;633305;55140;51605
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2011;-;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2011;-;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2011;546525;53454;428021;30777;34273
..Branje spletni novic, spletnih èasopisov, spletnih revij;2011;792044;92893;595093;52516;51542
...Naroèilo na spletne èasopisove, revije;2011;106262;8934;89838;5410;2080
..Iskanje službe, pošiljanje prošenj za službo;2011;212053;29449;147134;2157;33313
..Iskanje informacij, povezanih z zdravjem;2011;725346;76306;549248;52166;47627
..E-naroèanje obiska pri zdravniku;2011;-;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2011;492628;101477;349303;11929;29919
..Sodelovanje v profesionalnih spletnih omrežjih;2011;42110;5963;32290;2505;1351
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2011;-;-;-;-;-
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2011;256975;47617;173433;17768;18156
...Telefoniranje prek interneta;2011;-;-;-;-;-
…Video telefoniranje s spletno kamero prek interneta;2011;-;-;-;-;-
..Telefoniranje prek interneta, videokonferenca;2011;-;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2011;218023;22306;166335;14691;14691
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2011;81826;6174;65294;5489;4869
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2011;-;-;-;-;-
..Prodaja blaga, storitev;2011;458636;46585;353052;23792;35207
..Prenašanje programske opreme;2011;369464;70710;267418;12128;19207
..Nalaganje lastnih vsebin na spletne strani;2011;-;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2011;529572;98831;379633;22889;28219
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2011;31393;7108;21772;2116;396
..Nalaganje vsebin na spletno stran;2011;-;-;-;-;-
..Pridobivanje informacij o izobraževanju;2011;502886;90332;372086;15677;24792
..Opravljanje teèaja prek interneta;2011;79479;19912;52035;3148;4386
..Pridobivanje novih znanj, informacij;2011;-;-;-;-;-
..Uporaba interneta za izobraževanje in teèaje;2011;-;-;-;-;-
..Udeležba kakršnega koli teèaja;2011;-;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2011;-;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2011;-;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2011;-;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2011;-;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2011;-;-;-;-;-
..Poslušanje spletnih radijskih postaj;2011;-;-;-;-;-
..Gledanje spletne TV;2011;-;-;-;-;-
..Iskanje drugih informacij;2011;-;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2011;-;-;-;-;-
…Igranje spletnih iger z drugimi osebami;2011;-;-;-;-;-
..Izdelava spletnih strani ali blogov;2011;-;-;-;-;-
..Uporaba e-pošte za delitev datotek;2011;-;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2011;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2011;-;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;2011;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2011;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice;2011;-;-;-;-;-
..Pošiljanje sporoèil v novièarske skupine;2011;-;-;-;-;-
..Pošiljanje sporoèil v spletne forume;2011;280335;54470;201178;10680;14007
..Branje spletnih forumov;2011;698774;94897;515206;40002;48670
..Neposredno sporoèanje;2011;-;-;-;-;-
..Branje blogov;2011;-;-;-;-;-
..Pošiljanje komentarjev na druge bloge;2011;-;-;-;-;-
..Ustvarjanje in urejanje lastnega bloga;2011;-;-;-;-;-
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2011;-;-;-;-;-
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2011;-;-;-;-;-
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2011;-;-;-;-;-
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2011;-;-;-;-;-
Posamezniki;2012;1570414;171502;830210;349841;218862
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2012;1073379;168770;710354;94383;99873
..Pošiljanje ali prejemanje e-pošte;2012;901347;160649;590236;72632;77830
..E-banèništvo;2012;440944;33377;352650;31679;23238
..Iskanje informacij o blagu, storitvah;2012;918957;141755;615405;78379;83418
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2012;-;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2012;-;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2012;490290;82687;339878;32094;35631
..Branje spletni novic, spletnih èasopisov, spletnih revij;2012;744321;128970;489245;63657;62448
...Naroèilo na spletne èasopisove, revije;2012;-;-;-;-;-
..Iskanje službe, pošiljanje prošenj za službo;2012;-;-;-;-;-
..Iskanje informacij, povezanih z zdravjem;2012;806543;121721;537321;68770;78731
..E-naroèanje obiska pri zdravniku;2012;52468;5631;38491;5934;2412
..Sodelovanje v spletnih družabnih omrežjih;2012;561585;153120;345140;20657;42668
..Sodelovanje v profesionalnih spletnih omrežjih;2012;-;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2012;-;-;-;-;-
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2012;308890;78176;172105;23410;35198
...Telefoniranje prek interneta;2012;-;-;-;-;-
…Video telefoniranje s spletno kamero prek interneta;2012;-;-;-;-;-
..Telefoniranje prek interneta, videokonferenca;2012;-;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2012;-;-;-;-;-
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2012;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2012;-;-;-;-;-
..Prodaja blaga, storitev;2012;469390;68989;326371;27687;46343
..Prenašanje programske opreme;2012;-;-;-;-;-
..Nalaganje lastnih vsebin na spletne strani;2012;357485;91600;224648;17895;23342
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2012;673036;149506;417057;48008;58465
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2012;45061;16062;19180;2951;6869
..Nalaganje vsebin na spletno stran;2012;-;-;-;-;-
..Pridobivanje informacij o izobraževanju;2012;-;-;-;-;-
..Opravljanje teèaja prek interneta;2012;-;-;-;-;-
..Pridobivanje novih znanj, informacij;2012;-;-;-;-;-
..Uporaba interneta za izobraževanje in teèaje;2012;-;-;-;-;-
..Udeležba kakršnega koli teèaja;2012;-;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2012;-;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2012;-;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2012;-;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2012;-;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2012;628726;126316;407090;34917;60401
..Poslušanje spletnih radijskih postaj;2012;467702;100943;303548;18164;45046
..Gledanje spletne TV;2012;418471;85129;264750;27632;40960
