LETO;NAMEN UPORABE INTERNETA;16–24;25–34;35–44;45–54;55–64;65–74
2011;..Nalaganje lastnih vsebin na spletne strani;-;-;-;-;-;-
2011;..Pridobivanje znanja s pomoèjo spletnih enciklopedij;142407;150576;118226;74384;32916;11063
2011;…Objavljanje lastnih prispevkov v spletnih enciklopedijah;6806;10529;9447;1715;779;2116
2011;..Nalaganje vsebin na spletno stran;-;-;-;-;-;-
2011;..Pridobivanje informacij o izobraževanju;133526;149172;112364;71610;28496;7717
2011;..Opravljanje teèaja prek interneta;20341;24126;17350;11715;5133;814
2011;..Pridobivanje novih znanj, informacij;-;-;-;-;-;-
2011;..Uporaba interneta za izobraževanje in teèaje;-;-;-;-;-;-
2011;..Udeležba kakršnega koli teèaja;-;-;-;-;-;-
2011;…Izvajanje raziskovanj prek interneta v sklopu teèaja;-;-;-;-;-;-
2011;…Izmenjava sporoèil prek interneta v povezavi s teèajem;-;-;-;-;-;-
2011;…Prenos uènega gradiva za teèaj prek interneta;-;-;-;-;-;-
2011;…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;-;-;-;-;-;-
2011;..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;-;-;-;-;-;-
2011;..Poslušanje spletnih radijskih postaj;-;-;-;-;-;-
2011;..Gledanje spletne TV;-;-;-;-;-;-
2011;..Iskanje drugih informacij;-;-;-;-;-;-
2011;..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;-;-;-;-;-;-
2011;…Igranje spletnih iger z drugimi osebami;-;-;-;-;-;-
2011;..Izdelava spletnih strani ali blogov;-;-;-;-;-;-
2011;..Uporaba e-pošte za delitev datotek;-;-;-;-;-;-
2011;..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;-;-;-;-;-;-
2011;..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;-;-;-;-;-;-
2011;..Uporaba zunanjih naprav za delitev datotek;-;-;-;-;-;-
2011;..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;-;-;-;-;-;-
2011;..Pošiljanje sporoèil v spletne klepetalnice;-;-;-;-;-;-
2011;..Pošiljanje sporoèil v novièarske skupine;-;-;-;-;-;-
2011;..Pošiljanje sporoèil v spletne forume;72542;91979;60661;37577;14143;3433
2011;..Branje spletnih forumov;148496;202576;159852;114103;56551;17196
2011;..Neposredno sporoèanje;-;-;-;-;-;-
2011;..Branje blogov;-;-;-;-;-;-
2011;..Pošiljanje komentarjev na druge bloge;-;-;-;-;-;-
2011;..Ustvarjanje in urejanje lastnega bloga;-;-;-;-;-;-
2011;..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;-;-;-;-;-;-
2011;...Uporaba spletnih strani e-uprave za pridobivanje informacij;-;-;-;-;-;-
2011;…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;-;-;-;-;-;-
2011;…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;-;-;-;-;-;-
2012;Posamezniki;203345;297533;299719;308802;281218;179798
2012;Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];197263;277182;253716;198915;114881;31422
2012;..Pošiljanje ali prejemanje e-pošte;185277;248372;198996;158914;85452;24337
2012;..E-banèništvo;41744;129548;123072;93895;44113;8572
2012;..Iskanje informacij o blagu, storitvah;162686;246772;218188;170369;95285;25657
2012;…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;-;-;-;-;-;-
2012;…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;-;-;-;-;-;-
2012;..Uporaba storitev, povezanih s potovanji in nastanitvijo;90251;146468;117369;87110;37051;12040
2012;..Branje spletni novic, spletnih èasopisov, spletnih revij;145888;195099;164008;145166;71720;22441
2012;...Naroèilo na spletne èasopisove, revije;-;-;-;-;-;-
2012;..Iskanje službe, pošiljanje prošenj za službo;-;-;-;-;-;-
2012;..Iskanje informacij, povezanih z zdravjem;135622;218275;195290;154419;83025;19912
2012;..E-naroèanje obiska pri zdravniku;6231;11997;11598;16846;3909;1887
2012;..Sodelovanje v spletnih družabnih omrežjih;173598;208551;97402;54951;20219;6864
2012;..Sodelovanje v profesionalnih spletnih omrežjih;-;-;-;-;-;-
2012;..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;-;-;-;-;-;-
2012;..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;84713;80143;67963;49014;20491;6565
2012;...Telefoniranje prek interneta;-;-;-;-;-;-
2012;…Video telefoniranje s spletno kamero prek interneta;-;-;-;-;-;-
2012;..Telefoniranje prek interneta, videokonferenca;-;-;-;-;-;-
2012;..Branje in objavljanje mnenj o politiènih temah;-;-;-;-;-;-
2012;..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;-;-;-;-;-;-
2012;..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;-;-;-;-;-;-
2012;..Prodaja blaga, storitev;82989;142815;131277;69103;33326;9881
