NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Najveè OŠ izobrazba;Srednja izobrazba;Vsaj visokošolska izobrazba;Moški – SKUPAJ;Moški – najveè OŠ izobrazba;Moški – srednja izobrazba;Moški – vsaj višješolska izobrazba;Ženske – SKUPAJ;Ženske – najveè OŠ izobrazba;Ženske – srednja izobrazba;Ženske – vsaj višješolska izobrazba
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2009;195462;9666;106681;79115;97485;4868;61989;30628;97977;4799;44692;48487
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2009;397874;37208;206535;154132;190394;10826;115592;63975;207480;26381;90942;90157
..Branje spletni novic, spletnih èasopisov, spletnih revij;2009;533674;59951;281967;191756;265255;25933;159738;79583;268419;34018;122229;112172
...Naroèilo na spletne èasopisove, revije;2009;102214;2783;51740;47691;50917;2783;26394;21740;51297;-;25346;25951
..Iskanje službe, pošiljanje prošenj za službo;2009;193163;17324;118583;57257;93614;9545;67200;16868;99549;7778;51382;40389
..Iskanje informacij, povezanih z zdravjem;2009;512423;56350;277066;179006;199707;23173;122306;54229;312715;33177;154760;124778
..E-naroèanje obiska pri zdravniku;2009;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2009;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v profesionalnih spletnih omrežjih;2009;-;-;-;-;-;-;-;-;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2009;317095;71720;167490;77884;163125;33213;101370;28541;153970;38507;66120;49343
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2009;225441;31757;119323;74361;136335;20065;76696;39573;89106;11692;42626;34788
...Telefoniranje prek interneta;2009;164874;17506;85459;61909;100229;11332;53106;35790;64645;6173;32353;26119
…Video telefoniranje s spletno kamero prek interneta;2009;135217;22031;76711;36475;77460;12780;50160;14519;57758;9251;26551;21956
..Telefoniranje prek interneta, videokonferenca;2009;-;-;-;-;-;-;-;-;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2009;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2009;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2009;-;-;-;-;-;-;-;-;-;-;-;-
..Prodaja blaga, storitev;2009;293329;34892;170390;88047;183809;22034;120322;41453;109520;12858;50068;46594
..Prenašanje programske opreme;2009;311893;50192;163912;97789;202049;31272;114646;56132;109844;18921;49266;41657
..Nalaganje lastnih vsebin na spletne strani;2009;-;-;-;-;-;-;-;-;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2009;-;-;-;-;-;-;-;-;-;-;-;-
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2009;-;-;-;-;-;-;-;-;-;-;-;-
..Nalaganje vsebin na spletno stran;2009;361031;60615;193987;106429;195555;30745;117739;47071;165476;29870;76248;59358
..Pridobivanje informacij o izobraževanju;2009;335775;37846;160477;137452;148600;17531;80668;50401;187175;20315;79808;87052
..Opravljanje teèaja prek interneta;2009;50556;6455;25472;18629;23546;3523;14316;5707;27011;2932;11156;12922
..Pridobivanje novih znanj, informacij;2009;453878;75138;252076;126664;217602;36867;138509;42226;236275;38271;113567;84438
..Uporaba interneta za izobraževanje in teèaje;2009;607779;87564;326480;193735;294796;43982;179757;71058;312983;43582;146723;122678
..Udeležba kakršnega koli teèaja;2009;-;-;-;-;-;-;-;-;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2009;-;-;-;-;-;-;-;-;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2009;-;-;-;-;-;-;-;-;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2009;-;-;-;-;-;-;-;-;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2009;-;-;-;-;-;-;-;-;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2009;565945;87649;311608;166688;299546;44539;185484;69523;266399;43110;126124;97165
..Poslušanje spletnih radijskih postaj;2009;386011;65193;202056;118762;218791;34429;128327;56036;167220;30765;73729;62726
..Gledanje spletne TV;2009;419899;58515;236494;124890;218131;25885;141209;51037;201767;32629;95285;73853
..Iskanje drugih informacij;2009;-;-;-;-;-;-;-;-;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2009;-;-;-;-;-;-;-;-;-;-;-;-
…Igranje spletnih iger z drugimi osebami;2009;-;-;-;-;-;-;-;-;-;-;-;-
..Izdelava spletnih strani ali blogov;2009;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba e-pošte za delitev datotek;2009;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2009;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2009;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;2009;-;-;-;-;-;-;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2009;333719;67601;167130;98989;178308;36127;97233;44948;155411;31474;69897;54040
